iter	Logloss
0	0.6927849117
1	0.6922918986
2	0.6920146633
3	0.6916360358
4	0.6911988494
5	0.6908373404
6	0.6904601369
7	0.6900669814
8	0.6897007019
9	0.6893353621
10	0.6889650251
11	0.688572099
12	0.6881712784
13	0.6878115627
14	0.6874658673
15	0.6870936545
16	0.6866599611
17	0.6863349731
18	0.6859628214
19	0.6855698029
20	0.6851791629
21	0.6848377976
22	0.6845281359
23	0.6840968439
24	0.6837141006
25	0.6833466713
26	0.6828672355
27	0.6825109876
28	0.6821177429
29	0.6816996044
30	0.6813821061
31	0.6810336977
32	0.6806699389
33	0.6803943876
34	0.6800254987
35	0.6796717854
36	0.6793483067
37	0.6790575902
38	0.6787319596
39	0.6784050482
40	0.6779774511
41	0.6775742049
42	0.6772378411
43	0.6768484398
44	0.6765432038
45	0.6761990485
46	0.675853415
47	0.6754766573
48	0.6752006528
49	0.6748209643
50	0.6745182389
51	0.6742391201
52	0.673960825
53	0.6736261005
54	0.6733482343
55	0.6730146143
56	0.6726653888
57	0.6723063443
58	0.6719728154
59	0.6715527775
60	0.6712112568
61	0.6708824036
62	0.6704943852
63	0.6701474385
64	0.6698593903
65	0.6695538358
66	0.6692463198
67	0.6689101218
68	0.6685691398
69	0.6681457501
70	0.667733763
71	0.6674353339
72	0.6670426972
73	0.6666645322
74	0.6662949106
75	0.6659221242
76	0.6655960448
77	0.6652916527
78	0.6649295967
79	0.6645807916
80	0.6642148672
81	0.6638862704
82	0.663648817
83	0.6632678311
84	0.6630071655
85	0.6626185391
86	0.6623478987
87	0.662113092
88	0.6618749854
89	0.661518419
90	0.6611840501
91	0.6609154574
92	0.6605490833
93	0.6602394322
94	0.6598827062
95	0.6595754941
96	0.6592863808
97	0.6589308249
98	0.6586393681
99	0.6582656745
100	0.6579814102
101	0.6576926548
102	0.6573922355
103	0.6570784419
104	0.6567359085
105	0.6564033959
106	0.656048521
107	0.655752823
108	0.6554169826
109	0.6550785247
110	0.6547609225
111	0.6544587552
112	0.6541700759
113	0.6538446675
114	0.6535476011
115	0.6532115977
116	0.6528579713
117	0.6524917117
118	0.6521697008
119	0.651833585
120	0.6515106838
121	0.6511501281
122	0.650794843
123	0.6504977736
124	0.6501751882
125	0.6498579191
126	0.6495645522
127	0.6492161939
128	0.6489262284
